id,name,quantity,unit,category,expiration_date,min_quantity
1.0,Pasta,500,g,Dispensa,2025-12-31 00:00:00,200
2.0,Riso,300,g,Dispensa,2025-12-31 00:00:00,200
3.0,Uova,6,pz,Frigo,2024-04-01 00:00:00,2
4.0,Latte,1000,ml,Frigo,2024-03-25 00:00:00,500
5.0,Prosciutto cotto,150,g,Frigo,2024-03-20 00:00:00,100
6.0,Parmigiano,200,g,Frigo,2024-04-15 00:00:00,50
7.0,Pomodori pelati,400,g,Dispensa,2025-06-30 00:00:00,400
8.0,Olio extravergine,750,ml,Dispensa,2024-12-31 00:00:00,250
9.0,Sale,500,g,Dispensa,2025-12-31 00:00:00,100
10.0,Pepe,50,g,Dispensa,2025-12-31 00:00:00,10
11.0,Carote,300,g,Frigo,2024-03-22 00:00:00,200
12.0,Zucchine,400,g,Frigo,2024-03-21 00:00:00,200
13.0,Patate,1000,g,Dispensa,2024-04-15 00:00:00,500
14.0,Mele,600,g,Frigo,2024-03-25 00:00:00,300
15.0,Yogurt,250,g,Frigo,2024-03-28 00:00:00,125
,Latte in polvere,1,pz,Dispensa,2025-03-14,0
